"current_ap","current_hp","block","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr","participant"
"unn2/abstract06c_ap3.jpg","unn2/abstract06b_hp3.jpg",4,"left","unn","RS","left",1,545
"unn2/abstract06b_ap3.jpg","unn2/abstract06c_hp3.jpg",4,"left","unn","RS","left",1,545
"Nam2/inanimate01b_ap3.jpg","Nam2/inanimate01b_hp3.jpg",4,"right","nam","RS","right",1,545
"Nam2/inanimate01d_ap3.jpg","Nam2/inanimate01e_hp3.jpg",4,"left","nam","RT","right",0,545
"Nam2/inanimate01e_ap3.jpg","Nam2/inanimate01d_hp3.jpg",4,"left","nam","RT","right",0,545
"unn2/abstract06_ap3.jpg","unn2/abstract06_hp3.jpg",4,"right","unn","N","right",1,545
"Nam2/inanimate01a_ap3.jpg","Nam2/inanimate01_hp3.jpg",4,"left","nam","N","left",1,545
"unn2/abstract04d_ap3.jpg","unn2/abstract04e_hp3.jpg",5,"left","unn","RT","left",1,545
"Nam2/inanimate09_ap3.jpg","Nam2/inanimate09_hp3.jpg",5,"right","nam","N","right",1,545
"unn2/abstract04e_ap3.jpg","unn2/abstract04d_hp3.jpg",5,"left","unn","RT","left",1,545
"unn2/abstract04a_ap3.jpg","unn2/abstract04_hp3.jpg",5,"left","unn","N","left",1,545
"unn2/abstract04c_ap3.jpg","unn2/abstract04c_hp3.jpg",5,"right","unn","RS","right",1,545
"unn2/abstract04b_ap3.jpg","unn2/abstract04b_hp3.jpg",5,"right","unn","RS","right",1,545
"Nam2/inanimate09b_ap3.jpg","Nam2/inanimate09c_hp3.jpg",5,"left","nam","RS","left",1,545
"Nam2/inanimate09d_ap3.jpg","Nam2/inanimate09d_hp3.jpg",5,"right","nam","RT","right",1,545
"Nam2/inanimate09e_ap3.jpg","Nam2/inanimate09e_hp3.jpg",5,"right","nam","RT","right",1,545
"unn2/abstract04_ap3.jpg","unn2/abstract04a_hp3.jpg",5,"left","unn","N","left",1,545
"Nam2/inanimate09a_ap3.jpg","Nam2/inanimate09a_hp3.jpg",5,"right","nam","N","left",0,545
"Nam2/inanimate09c_ap3.jpg","Nam2/inanimate09c_hp3.jpg",5,"right","nam","RS","left",0,545
"unn2/abstract04d_ap3.jpg","unn2/abstract04d_hp3.jpg",5,"right","unn","RT","right",1,545
"Nam2/inanimate09_ap3.jpg","Nam2/inanimate09a_hp3.jpg",5,"left","nam","N","left",1,545
"unn2/abstract04e_ap3.jpg","unn2/abstract04e_hp3.jpg",5,"right","unn","RT","right",1,545
"unn2/abstract04a_ap3.jpg","unn2/abstract04a_hp3.jpg",5,"right","unn","N","right",1,545
"unn2/abstract04c_ap3.jpg","unn2/abstract04b_hp3.jpg",5,"left","unn","RS","left",1,545
"unn2/abstract04b_ap3.jpg","unn2/abstract04c_hp3.jpg",5,"left","unn","RS","right",0,545
"Nam2/inanimate09b_ap3.jpg","Nam2/inanimate09b_hp3.jpg",5,"right","nam","RS","left",0,545
"Nam2/inanimate09d_ap3.jpg","Nam2/inanimate09e_hp3.jpg",5,"left","nam","RT","left",1,545
"Nam2/inanimate09e_ap3.jpg","Nam2/inanimate09d_hp3.jpg",5,"left","nam","RT","left",1,545
"unn2/abstract04_ap3.jpg","unn2/abstract04_hp3.jpg",5,"right","unn","N","right",1,545
"Nam2/inanimate09a_ap3.jpg","Nam2/inanimate09_hp3.jpg",5,"left","nam","N","left",1,545
"unn2/abstract02d_ap3.jpg","unn2/abstract02e_hp3.jpg",6,"left","unn","RT","left",1,545
"Nam2/inanimate08a_ap3.jpg","Nam2/inanimate08a_hp3.jpg",6,"right","nam","N","right",1,545
"Nam2/inanimate08c_ap3.jpg","Nam2/inanimate08b_hp3.jpg",6,"left","nam","RS","left",1,545
"unn2/abstract02a_ap3.jpg","unn2/abstract02_hp3.jpg",6,"left","unn","N","left",1,545
"Nam2/inanimate08_ap3.jpg","Nam2/inanimate08_hp3.jpg",6,"right","nam","N","right",1,545
"unn2/abstract02e_ap3.jpg","unn2/abstract02d_hp3.jpg",6,"left","unn","RT","left",1,545
"Nam2/inanimate08e_ap3.jpg","Nam2/inanimate08e_hp3.jpg",6,"right","nam","RT","right",1,545
"Nam2/inanimate08b_ap3.jpg","Nam2/inanimate08c_hp3.jpg",6,"left","nam","RS","right",0,545
"unn2/abstract02b_ap3.jpg","unn2/abstract02b_hp3.jpg",6,"right","unn","RS","right",1,545
"unn2/abstract02c_ap3.jpg","unn2/abstract02c_hp3.jpg",6,"right","unn","RS","right",1,545
"unn2/abstract02_ap3.jpg","unn2/abstract02a_hp3.jpg",6,"left","unn","N","left",1,545
"Nam2/inanimate08c_ap3.jpg","Nam2/inanimate08c_hp3.jpg",6,"right","nam","RS","right",1,545
