"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",3,3,24,"Nam2/inanimate05e_ap.jpg","Nam2/inanimate05e_hp.jpg","right","nam","RT","right",1
865,"A",4,4,1,"unn2/abstract01_ap.jpg","unn2/abstract01a_hp.jpg","left","unn","RS","left",1
865,"A",4,4,2,"unn2/abstract04_ap.jpg","unn2/abstract04_hp.jpg","right","unn","RT","right",1
865,"A",4,4,3,"unn2/abstract07_ap.jpg","unn2/abstract07a_hp.jpg","left","unn","N","left",1
865,"A",4,4,4,"Nam2/inanimate02_ap.jpg","Nam2/inanimate02_hp.jpg","right","nam","RS","right",1
865,"A",4,4,5,"unn2/abstract01a_ap.jpg","unn2/abstract01_hp.jpg","left","unn","RS","left",1
865,"A",4,4,6,"Nam2/inanimate08c_ap.jpg","Nam2/inanimate08c_hp.jpg","right","nam","N","right",1
865,"A",4,4,7,"unn2/abstract04a_ap.jpg","unn2/abstract04a_hp.jpg","right","unn","RT","right",1
865,"A",4,4,8,"Nam2/inanimate04b_ap.jpg","Nam2/inanimate04c_hp.jpg","left","nam","RT","left",1
865,"A",4,4,9,"unn2/abstract07a_ap.jpg","unn2/abstract07_hp.jpg","left","unn","N","right",0
865,"A",4,4,10,"Nam2/inanimate08b_ap.jpg","Nam2/inanimate08b_hp.jpg","right","nam","N","right",1
865,"A",4,4,11,"Nam2/inanimate02a_ap.jpg","Nam2/inanimate02a_hp.jpg","right","nam","RS","right",1
865,"A",4,4,12,"Nam2/inanimate04c_ap.jpg","Nam2/inanimate04b_hp.jpg","left","nam","RT","left",1
865,"A",4,4,13,"unn2/abstract01_ap.jpg","unn2/abstract01_hp.jpg","right","unn","RS","right",1
865,"A",4,4,14,"unn2/abstract04_ap.jpg","unn2/abstract04a_hp.jpg","left","unn","RT","left",1
865,"A",4,4,15,"unn2/abstract07_ap.jpg","unn2/abstract07_hp.jpg","right","unn","N","left",0
865,"A",4,4,16,"Nam2/inanimate02_ap.jpg","Nam2/inanimate02a_hp.jpg","left","nam","RS","left",1
865,"A",4,4,17,"unn2/abstract01a_ap.jpg","unn2/abstract01a_hp.jpg","right","unn","RS","right",1
